,A2,,,A9,,,B3,,,B4,,C1,C2,C4,C5,è„,â∫
0.84,553629.3,,0.84,2464127.5,,0.84,100310.3,,0.84,378200.1,,238781.3,73628.4,275545.4,240.9,373482.6,380823.1
0.844,523999.9,,0.844,2396109.2,,0.844,95930.5,,0.844,367161.3,,226868,70389.1,262826,270.9,350997.1,357332.1
0.848,501463.6,,0.848,2255600,,0.848,91250.4,,0.848,348537.9,,217671.8,66721.9,252744.3,270.9,331864,335239.8
0.852,476324.4,,0.852,2159593.2,,0.852,87576.9,,0.852,327229,,209551.1,64098.2,240184.7,244.2,336433.9,320736.5
0.856,454290.2,,0.856,2089813.9,,0.856,84014.1,,0.856,327916.2,,200266.9,61491.2,230915.9,190,320248.3,322148.1
0.86,435416.2,,0.86,1971501.4,,0.86,80161.9,,0.86,315624,,191098,58639.2,221606.1,217.5,304950.6,305093.5
0.864,420257.4,,0.864,1903082.5,,0.864,76544.7,,0.864,298754.2,,179740.5,56221.7,212933.9,218.4,288517.2,290730.1
0.868,398928.5,,0.868,1848307.5,,0.868,73397.5,,0.868,287686.3,,173823.5,54096.9,203746.2,222.6,276127.3,276559
0.872,382173.2,,0.872,1770319.6,,0.872,70059.6,,0.872,275043.7,,165742.1,51469.8,196160,233.4,263068.2,261913.1
0.876,367426.7,,0.876,1653855.2,,0.876,67412.5,,0.876,262502.8,,157504.4,49448.2,183969.3,200.9,251042.9,248369.8
0.88,351131.3,,0.88,1596743.6,,0.88,64963.6,,0.88,251433,,152713.2,47266.1,178630.6,220,240091.3,238028.7
0.884,337934.8,,0.884,1549143.1,,0.884,61543.4,,0.884,239442.7,,145643.4,45430.7,169311.3,196.7,228186.2,228439.1
0.888,340215,,0.888,1466392.4,,0.888,59265.5,,0.888,230378.9,,142811.1,43080.5,165738.2,184.2,217530.1,215955.7
0.892,326428.1,,0.892,1402826.2,,0.892,57348.1,,0.892,219338.7,,135995.4,41309.1,157592.9,178.4,207389.3,205117.1
0.896,313179.3,,0.896,1354810.2,,0.896,55073.5,,0.896,211762.5,,129638.7,40169.2,150734.2,179.2,198125.2,194813.8
0.9,302197.9,,0.9,1306017.2,,0.9,52789.8,,0.9,199754.7,,124706.2,38827.6,145513.7,151.7,189416.9,186941.5
0.904,286674.3,,0.904,1250346.8,,0.904,51781.6,,0.904,194755.9,,119016.3,37301.5,140085.7,158.4,181445.8,177831.1
0.908,278512.5,,0.908,1192668.5,,0.908,49173.6,,0.908,185639.5,,113888.6,35924.4,136359.5,167.5,174380.8,170235.4
0.912,268852,,0.912,1141607.6,,0.912,47654.8,,0.912,180285.5,,112227.9,34573.3,132538.4,150,167350,163984.8
0.916,260721.4,,0.916,1121331.8,,0.916,45992.8,,0.916,173398.3,,109157.2,33089.4,127631.4,150.9,160828.5,156708.4
0.92,249984.9,,0.92,1072872.8,,0.92,43893.1,,0.92,166621.1,,101744.7,31937.3,120186.7,140.9,154248.5,149851.1
0.924,242452.8,,0.924,1049132.2,,0.924,42179.8,,0.924,159063.9,,100628.8,30797.7,114654,152.5,147501.9,144559.5
0.928,231763.6,,0.928,991787.1,,0.928,40561.8,,0.928,152187.6,,92980,29698.6,109859,149.2,141466.7,137757.2
0.932,222503.4,,0.932,953953.4,,0.932,38728,,0.932,146681.7,,88747.8,28648.1,105924.9,133.4,134784.5,132327.4
0.936,215667.5,,0.936,918453.1,,0.936,37359.5,,0.936,141112.9,,86885.9,27356.4,101447.8,140.9,128998.1,125882.9
0.94,205865.1,,0.94,879649.9,,0.94,36229.6,,0.94,134724.1,,82739.2,26401,98074.2,125.8,123475.4,120339
0.944,199069,,0.944,829654.8,,0.944,34782.6,,0.944,129852.5,,79951.5,25564.5,95257.6,135.9,118399.6,114377.5
0.948,192442.1,,0.948,804578.9,,0.948,33840.3,,0.948,124932,,80855.9,24354.4,91713.2,116.7,113836.3,110209.7
0.952,185112.7,,0.952,774829,,0.952,33131.5,,0.952,120290.1,,77887.5,23574.1,90065.7,121.7,109463.7,105604.2
0.956,178008,,0.956,766954.6,,0.956,31874.8,,0.956,116244.1,,73322.5,22556.3,86252.4,111.7,104959.2,101324.6
0.96,172592.3,,0.96,736246.9,,0.96,31053.9,,0.96,112388.6,,71332.5,21994.4,85005.8,92.5,101707.4,97108.8
0.964,169230.3,,0.964,716926.7,,0.964,30113.6,,0.964,108427.6,,70705.8,21498.7,81119.5,118.3,98053.6,94967.8
0.968,164021.7,,0.968,706134.3,,0.968,29392.2,,0.968,105045.6,,68384.2,20835.1,78518.8,115,95785.4,90839.4
